8.3 (D)(3DRel)	Time
0.001477311	33799.0584
0.001565517	33837.7577
0.0016024	33878.0501
0.001660762	33917.7753
0.001709372	33960.9276
0.00176798	33998.9589
0.001836609	34038.1965
0.001893062	34077.8453
0.001953241	34119.2616
0.001989979	34161.1402
0.002034687	34198.2357
0.002034687	34239.2791
0.002109338	34278.3538
0.002109338	34318.1279
0.002201076	34358.3413
0.002201076	34398.011
0.002281103	34438.316
0.002335276	34478.6586
0.002349	34523.2991
0.002337774	34558.9035
0.002351703	34598.2197
0.002371955	34637.8689
0.002386056	34678.3729
0.002376357	34718.6462
0.002360375	34757.4036
0.002350439	34798.7453
0.002278272	34837.5465
0.002210533	34878.1481
0.002172254	34923.0592
0.002123807	34957.9614
0.00209334	34997.597
0.002053014	35038.0776
0.001982422	35077.6902
0.001905326	35118.0889
0.001849014	35157.9053
0.001779384	35198.2577
0.001732345	35237.8435
0.001732345	35279.1126
0.001532264	35318.38
0.001532264	35357.9653
0.001311944	35404.764
0.001311944	35438.5705
0.001194192	35482.0315
0.001049051	35518.1386
0.000966139	35559.0342
0.000775359	35598.3542
0.000775359	35638.1683
0.000700634	35677.4357
0.000627858	35719.462
0.000608299	35757.507
0.000590225	35797.7189
0.000611647	35837.5753
0.000648974	35877.7824
0.000696474	35918.7779
0.000681638	35958.9918
0.000692033	35997.6852
0.000703551	36038.1029
0.000715361	36077.7614
0.000773572	36117.8982
0.000804976	36158.1511
0.000836069	36198.1329
0.000836069	36238.1975
0.000895503	36278.2602
0.000895503	36318.3244
0.001062659	36358.2335
0.001062659	36398.0163
0.001112677	36438.3565
0.001163887	36478.387
0.001213479	36518.0572
0.001205659	36558.4222
0.001209808	36598.0968
0.001221285	36640.3742
0.001243305	36678.5055
0.00123031	36718.1557
0.001245093	36757.2451
0.001264688	36797.6984
0.001280409	36837.8372
0.001249204	36878.527
0.001205531	36917.3999
0.001102602	36958.3676
0.001033292	36998.7131
0.001008459	37038.3038
0.000949141	37077.6268
0.000933014	37119.4064
0.000932469	37158.2993
0.00093241	37201.158
0.000913902	37237.7596
0.000913902	37283.3822
0.000890027	37318.3429
0.000890027	37363.5246
0.000885465	37398.3776
0.000885465	37438.3072
0.000870355	37479.0872
0.000887063	37518.0357
0.000895733	37558.3661
0.000888997	37598.4995
0.000888997	37638.2594
0.000909152	37682.7483
0.000943647	37718.6677
0.001013595	37761.2475
0.001095706	37797.7525
0.001189072	37841.9146
0.001315046	37877.994
0.001509194	37917.5193
0.001654663	37957.8853
0.001776313	37997.6643
0.001883107	38038.1887
0.001989285	38084.2072
0.002108889	38119.6278
0.002220519	38158.747
0.002297489	38198.1285
0.002297489	38237.9835
0.002440499	38278.092
0.002440499	38317.9187
0.002492997	38358.1501
0.002512406	38400.3081
0.002512406	38437.9737
0.002569509	38478.6445
0.002589626	38518.6204
0.002612525	38558.5066
0.002612525	38598.0534
0.0026088	38638.5901
0.002577697	38678.132
0.002527693	38718.9612
0.002472477	38758.7787
0.002401221	38799.4889
0.002309015	38837.3027
0.002269574	38879.0663
0.00218788	38917.3014
0.00210266	38958.019
0.001999162	38998.3898
0.001862479	39038.6476
0.001706014	39077.7892
0.001669123	39118.1079
0.00159356	39157.8507
0.001637853	39198.1221
0.001653023	39237.7133
0.001653023	39278.3597
0.001688586	39318.2815
0.001688586	39357.8493
0.001820011	39398.6746
0.001820011	39438.6998
0.00190874	39478.2173
0.002079723	39518.0547
0.00218707	39558.6173
0.002307227	39598.3845
0.002307227	39644.006
0.002353858	39678.9746
0.002395394	39725.6777
0.002372791	39758.3481
0.002366266	39801.6106
0.002397281	39837.3227
0.0023953	39884.8606
0.002370062	39917.6086
0.002304887	39957.7829
0.002284443	39997.44
0.00225266	40037.884
0.002295717	40078.1139
0.002330372	40118.5233
0.002340926	40158.9327
0.002308341	40197.9768
0.002308341	40238.8402
0.002319545	40277.874
0.002341294	40317.9333
0.002367647	40358.1457
0.002367647	40397.7993
0.002413526	40437.9298
0.002465616	40478.1339
0.002478382	40517.8538
0.002517296	40558.4037
0.002517296	40598.9511
0.002502298	40638.5013
0.00251591	40683.6118
0.002532402	40718.5389
0.002555317	40758.1969
0.00256787	40799.4304
0.002583454	40839.5243
0.002594914	40878.9058
0.002534179	40917.3253
0.002484675	40957.8146
0.002430091	40997.497
0.00238335	41044.2352
0.002372064	41078.5957
0.00237347	41120.6913
0.002361829	41157.8366
0.002328363	41198.1987
0.002281517	41244.7935
0.002281517	41277.7531
